frame,brisque
5,96.340729
6,84.494019
7,81.392471
8,79.954308
9,69.058380
10,66.875511
11,63.981163
12,54.492924
13,52.234566
14,52.748970
15,51.100754
16,47.642887
17,46.964077
18,45.712265
19,41.762028
20,46.171219
21,38.140625
22,41.737766
23,40.142445
24,40.074001
25,37.444065
26,39.291935
27,42.187939
28,37.055687
29,36.644119
30,41.590923
31,45.289722
32,47.916435
33,52.881168
34,53.572414
35,59.559639
36,61.328434
37,64.889427
38,66.788841
39,62.334820
40,63.237228
41,63.888683
42,62.341290
43,64.274673
44,60.947659
45,60.951748
46,61.014107
47,64.784927
48,69.575409
49,69.564423
50,61.002480
51,63.078690
52,63.560314
53,70.605537
54,73.852501
55,72.047623
56,65.667305
57,67.153587
58,64.859962
59,60.586132
60,37.659271
61,31.186462
62,34.942162
63,40.888725
64,32.503983
65,38.201588
66,36.349125
67,39.742996
68,31.337801
69,37.587524
70,33.863617
71,37.358105
72,34.161381
73,34.973255
74,36.719440
75,38.633099
76,33.621098
77,37.090870
78,28.328974
79,36.431896
80,31.429445
81,33.332111
82,30.384094
83,33.001415
84,31.520414
85,32.512657
86,27.666988
87,30.185385
88,30.523340
89,30.693977
90,25.700481
91,29.977287
92,30.994644
93,27.911978
94,32.916523
95,30.556763
96,31.696833
97,25.621809
98,27.878561
99,27.132977
100,30.506809
101,27.185263
102,26.418436
103,28.412945
104,28.795160
105,24.991545
106,28.794487
107,26.412970
108,28.285925
109,26.412550
110,23.974934
111,28.767006
112,25.539135
113,31.210436
114,25.654556
115,27.310869
116,25.553387
117,47.837242
118,49.138054
119,50.591892
120,50.996429
121,52.233288
122,52.597836
123,54.312550
124,52.691601
125,51.006310
126,50.506943
127,47.954754
128,46.714115
129,48.348488
130,45.493187
131,47.572742
132,45.652317
133,47.406921
134,48.852245
135,49.177353
136,47.440559
137,50.541306
138,48.478119
139,46.893021
140,45.673241
141,46.603024
142,45.148163
143,44.851162
144,47.168758
145,47.262493
146,44.664402
147,46.560169
148,47.779022
149,47.680180
150,47.281761
151,49.841053
152,48.373394
153,49.397362
154,50.695812
155,49.233078
156,50.113224
157,51.045765
158,50.622974
159,48.819427
160,46.935440
161,52.102753
162,47.671719
163,45.475315
164,45.552181
165,49.215832
166,46.088161
167,46.225609
168,46.271111
169,50.762493
170,48.831997
171,48.744728
172,52.135887
173,48.587582
174,46.469631
175,41.604462
176,37.508537
177,37.262417
178,37.997169
179,38.582928
180,36.660404
181,35.210201
182,35.015297
183,37.981537
184,36.813515
185,34.681011
186,36.788292
187,35.104996
188,37.619343
189,36.334938
190,37.701603
191,36.813820
192,35.591267
193,36.621490
194,32.734184
195,35.130001
196,34.810101
197,34.407475
198,34.260197
199,34.882927
200,39.202553
201,34.453655
202,35.450809
203,37.742363
204,37.329529
205,36.931000
206,38.798519
207,37.281078
208,38.123409
209,35.786388
210,37.626484
211,38.039734
212,41.209736
213,39.670269
214,69.176170
215,70.636513
216,62.800488
217,63.553280
218,61.817699
219,63.400276
220,62.608150
221,64.158195
222,63.401318
223,64.259895
224,62.742252
225,63.186836
226,62.865822
227,63.396530
228,62.871429
229,63.420368
230,63.114315
231,42.805916
232,32.194817
233,36.260227
234,34.232632
235,36.124790
236,35.602089
237,42.649754
238,37.315372
239,38.131680
240,39.706345
241,36.348179
242,33.934265
243,34.301556
244,36.433250
245,31.808086
246,34.890842
247,31.808252
248,25.996803
249,29.315935
250,28.619967
251,30.561613
252,31.056330
253,30.965311
254,32.234715
255,31.417406
256,33.023659
257,34.834354
258,37.618980
259,37.826550
260,40.765453
261,44.047337
262,44.998520
263,48.132027
264,53.911522
265,54.410213
266,55.648327
267,58.885147
268,58.257526
269,58.823502
270,57.768620
271,55.116905
272,53.631012
273,54.917507
274,56.586357
275,56.896282
276,59.198009
277,56.672935
278,59.453457
279,55.861328
280,57.304375
281,57.231075
282,54.040405
283,57.199673
284,65.082489
285,65.285591
286,64.134758
287,60.370914
288,60.578701
289,60.279053
290,64.774437
291,64.390709
292,60.195587
293,58.185284
294,57.537502
295,55.302898
296,56.181992
297,54.966099
298,54.814556
299,52.290169
300,48.794155
301,48.390331
302,47.489063
303,48.411716
304,45.778912
305,46.727776
306,44.415348
307,45.364731
308,43.028065
309,43.212669
310,41.419273
311,38.129066
312,42.139076
313,39.651726
314,40.971897
315,40.390842
316,39.300278
317,39.612267
318,36.063885
319,33.200066
320,34.111664
321,33.935181
322,33.631725
323,35.578106
324,35.459614
325,35.916073
326,35.654514
327,34.663887
