frame,brisque
0,-nan
1,112.751884
2,109.722137
3,104.873283
4,101.889587
5,96.340729
6,84.494019
7,81.392471
8,79.954308
9,69.058380
10,66.875511
11,63.981163
12,54.492924
13,52.234566
14,52.748970
15,51.100754
16,47.642887
17,46.964077
18,45.712265
19,41.762028
20,46.171219
21,38.140625
22,41.737766
23,40.142445
24,40.074001
25,37.444065
26,39.291935
27,42.187939
28,37.055687
29,36.644119
30,41.590923
31,45.289722
32,47.916435
33,52.881168
34,53.572414
35,59.559639
36,61.328434
37,64.889427
38,66.788841
39,62.334820
40,63.237228
41,63.888683
42,62.341290
43,64.274673
44,60.947659
45,60.951748
46,61.014107
47,64.784927
48,69.575409
49,69.564423
50,61.002480
51,63.078690
52,63.560314
53,70.605537
54,73.852501
55,72.047623
56,65.667305
57,67.153587
58,64.859962
59,60.586132
60,37.659271
61,31.186462
62,34.942162
63,40.888725
64,32.503983
65,38.201588
66,36.349125
67,39.742996
68,31.337801
69,37.587524
70,33.863617
71,37.358105
72,34.161381
73,34.973255
74,36.719440
75,38.633099
76,33.621098
77,37.090870
78,28.328974
79,36.431896
80,31.429445
81,33.332111
82,30.384094
83,33.001415
84,31.520414
85,32.512657
86,27.666988
87,30.185385
88,30.523340
89,30.693977
90,25.700481
91,29.977287
92,30.994644
93,27.911978
94,32.916523
95,30.556763
96,31.696833
97,25.621809
98,27.878561
99,27.132977
100,30.506809
101,27.185263
102,26.418436
103,28.412945
104,28.795160
105,24.991545
106,28.794487
107,26.412970
108,28.285925
109,26.412550
110,23.974934
111,28.767006
112,25.539135
113,31.210436
114,25.654556
115,27.310869
116,25.553387
117,47.837242
118,49.138054
119,50.591892
120,50.996429
121,52.233288
122,52.597836
123,54.312550
124,52.691601
125,51.006310
126,50.506943
127,47.954754
128,46.714115
129,48.348488
130,45.493187
131,47.572742
132,45.652317
